date,municipality,consumption_kwh,production_mlr_prediction,production_mlr_residual_kwh
2021-01-24,Bagumbayan,33799.44,34839.86842605272,-1040.4284260527202
2021-01-25,Bagumbayan,35261.99,34596.793813,665.1961870000014
2021-01-26,Bagumbayan,37306.1,39349.104556831444,-2043.0045568314454
2021-01-27,Bagumbayan,35482.23,34118.84365607907,1363.3863439209308
2021-01-28,Bagumbayan,35124.89,34338.569089364864,786.3209106351351
2021-01-29,Bagumbayan,34664.98,34375.17750032619,289.8024996738168
2021-01-30,Bagumbayan,32129.19,30941.54504206063,1187.6449579393702
2021-01-31,Bagumbayan,31323.4,31866.550964993312,-543.1509649933105
2021-02-01,Bagumbayan,34503.89,37479.38611267527,-2975.496112675268
2021-02-02,Bagumbayan,34019.59,35405.56026020777,-1385.9702602077741
2021-02-03,Bagumbayan,34032.94,34946.216468968356,-913.2764689683536
2021-02-04,Bagumbayan,35170.85,36011.48943733238,-840.6394373323783
2021-02-05,Bagumbayan,34040.17,33279.89890192342,760.2710980765769
2021-02-06,Bagumbayan,34095.1,33046.60861331244,1048.4913866875577
2021-02-07,Bagumbayan,30940.25,32033.21167663737,-1092.9616766373692
